Bitcoin_2019_2021
Date,Open,High,Low,Close,Volume,change (%),change in next day (%),NextDayPrice,DayafterTmrw
2019/01/01,3746.713379,3850.913818,3707.231201,3843.52002,4324200990,2.584,2.447,3817.409424,3826.2229
2019/01/02,3849.216309,3947.981201,3817.409424,3943.409424,5244856836,2.447,-2.399,3826.2229,3783.85376
2019/01/03,3931.048584,3935.685059,3826.2229,3836.741211,4530215219,-2.399,0.67,3783.85376,3836.900146
2019/01/04,3832.040039,3865.93457,3783.85376,3857.717529,4847965467,0.67,-0.176,3836.900146,3826.513184
2019/01/05,3851.973877,3904.903076,3836.900146,3845.19458,5137609824,-0.176,6.259,3826.513184,4020.894043
2019/01/06,3836.519043,4093.297363,3826.513184,4076.632568,5597027440,6.259,-1.308,4020.894043,3996.955322
2019/01/07,4078.584961,4092.613525,4020.894043,4025.248291,5228625637,-1.308,0.059,3996.955322,4022.662842
2019/01/08,4028.472168,4109.020996,3996.955322,4030.8479,5306593305,0.059,0.093,4022.662842,3659.174561
2019/01/09,4031.552002,4068.403564,4022.662842,4035.296387,5115905225,0.093,-8.811,3659.174561,3653.069824
2019/01/10,4034.411377,4064.06665,3659.174561,3678.924561,6874143796,-8.811,0.363,3653.069824,3653.810791
2019/01/11,3674.015381,3713.881836,3653.069824,3687.365479,5538712865,0.363,-0.696,3653.810791,3544.927246
2019/01/12,3686.973145,3698.978271,3653.810791,3661.301025,4778170883,-0.696,-2.895,3544.927246,3552.285156
2019/01/13,3658.868164,3674.76001,3544.927246,3552.953125,4681302466,-2.895,4.181,3552.285156,3619.949219
2019/01/14,3557.311035,3727.836182,3552.285156,3706.052246,5651384490,4.181,-1.985,3619.949219,3624.67334
2019/01/15,3704.216309,3720.15332,3619.949219,3630.675293,5537192302,-1.985,0.647,3624.67334,3621.960938
2019/01/16,3631.509766,3685.7771,3624.67334,3655.006836,5394457145,0.647,0.731,3621.960938,3637.080811
2019/01/17,3651.871094,3680.135986,3621.960938,3678.563965,5464420383,0.731,-0.548,3637.080811,3652.37793
2019/01/18,3677.990479,3682.52002,3637.080811,3657.839355,5002961727,-0.548,2.086,3652.37793,3583.019531
2019/01/19,3652.37793,3758.533447,3652.37793,3728.568359,5955691380,2.086,-3.34,3583.019531,3558.537109
2019/01/20,3725.446045,3743.387939,3583.019531,3601.013672,5582489560,-3.34,-0.676,3558.537109,3539.721436
2019/01/21,3600.372803,3608.84082,3558.537109,3576.032471,5004347059,-0.676,0.825,3539.721436,3565.313965
2019/01/22,3575.081299,3620.746582,3539.721436,3604.577148,5313623556,0.825,-0.567,3565.313965,3569.092773
2019/01/23,3605.557129,3623.067871,3565.313965,3585.123047,5433755649,-0.567,0.457,3569.092773,3575.597412
2019/01/24,3584.500244,3616.087402,3569.092773,3600.865479,5262869046,0.457,-0.211,3575.597412,3593.345947
2019/01/25,3607.390381,3612.927734,3575.597412,3599.765869,5265847539,-0.211,0.076,3593.345947,3567.24585
2019/01/26,3599.715332,3654.933105,3593.345947,3602.460449,5098183235,0.076,-0.575,3567.24585,3439.23291
2019/01/27,3604.687256,3612.671387,3567.24585,3583.96582,5570752966,-0.575,-3.176,3439.23291,3400.819824
2019/01/28,3584.283203,3586.750977,3439.23291,3470.450439,6908930483,-3.176,-0.598,3400.819824,3429.387939
2019/01/29,3468.870117,3476.06543,3400.819824,3448.116943,5897159493,-0.598,1.228,3429.387939,3447.915771
2019/01/30,3443.896973,3495.174805,3429.387939,3486.181641,5955112627,1.228,-0.792,3447.915771,3431.591553
2019/01/31,3485.40918,3504.804932,3447.915771,3457.792725,5831198271,-0.792,0.792,3431.591553,3467.574707
